keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Dirigible Systems,,,,"363 Buckingham Way,null,Westminster, MD,21157-4547, USA",,,,,,,
"Insight Engineering, Inc.",,,,,,,,,,,
"Insight Engineering, Inc.","INSIGHT ANALYTICS SOLUTIONS USA, INC",XJGYA41ANZ16,8HVE3,"2440 Junction PL STE 400,Boulder, Colorado,80301-1209, United States","2440 Junction PL STE 400,Boulder, Colorado,80301-1209, United States",https://onyxinsight.com/,"Dec 7, 2016",Amy Austin,Amy Ausitn,"Colorado, United States",Colorado 02
"Insight Engineering, Inc.",CENSEO INSIGHT INC,EJ36VJG7FA16,6PVV4,"3400 Harbor AVE SW,STE 351,Seattle, Washington,98126-2394, United States","PO Box 46189,Seattle, Washington,98146, United States",,"Jan 1, 2012",Daniel C Kao,Daniel Kao,"Washington, United States",Washington 07
"Insight Engineering, Inc.","CGI TECHNICAL SERVICES, INC.",EH5BCKN42FM5,9DS05,"1612 Insight PL,Redding, California,96003-1492, United States","1612 Insight PL.,Redding, California,96003, United States",https://www.cgitechnical.com/,"Feb 11, 1999","SHERRIE TEC CURRY, SECRETARY","SHERRIE CURRY, SECRETARY","California, United States",California 01
"Insight Engineering, Inc.","INSIGHT-AWP, LLC",F2UKT5L4W1Z1,8N8G8,"520 Amalfi DR,Kemah, Texas,77565-1656, United States","520 Amalfi DR,Kemah, Texas,77565-1656, United States",https://www.insight-awp.com/,"Oct 31, 2017","Gregorio Labbozzetta, Director of Information Management","Geoff Ryan, CEO","Texas, United States",Texas 14
"PerSoN Clinic, LLC",WHOLE PERSON CARE CLINIC,TP7UTM98KY79,(blank),"120 N Ash ST,Escondido, California,92027-3058, United States","120 N Ash ST,Escondido, California,92027-3058, United States",https://www.wpcc.org/,"Mar 23, 2020",Xochil Alcorn,Xochil Alcorn,"California, United States",California 48
"PerSoN Clinic, LLC",FIRST PERSON CARE CLINIC,HRAATANFJ7C3,6VPF9,"1200 S 4TH ST,STE 111,Las Vegas, Nevada,89104-1046, United States","1200 S 4TH ST - Suite 111,Las Vegas, Nevada,89104-1046, United States",https://www.firstpersonclinic.org/,"Feb 27, 2013","Roxana Valeton, CEO","Roxana Valeton, CEO","Nevada, United States",Nevada 04
"X-wave Innovations, Inc","X-WAVE INNOVATIONS, INC.",EDJ3MSJR9NK7,6FUX9,"555 Quince Orchard RD STE 510,Gaithersburg, Maryland,20878-1464, United States","555 Quince Orchard RD,STE 510,Gaithersburg, Maryland,20878-1464, United States",http://www.x-waveinnovations.com/,"Aug 4, 2009",JENNIFER DUAN,DAN XIANG,"Maryland, United States",Maryland 06
Sanchez Engineering Services,MICHAEL SANCHEZ,E29EATQDWF96,8D6K2,"1195 Stoney Creek RD,Bedford, Virginia,24523-5194, United States","1195 Stoney Creek RD,Bedford, Virginia,24523-5194, United States",https://www.sanchezeng.com/,"Jan 2, 2017","Michael D Sanchez, Owner","Michael D Sanchez, Owner","Virginia, United States",Virginia 09
Sanchez Engineering Services,SANCHEZ ARANA ILIA,JERHJYN5A9V7,7GTK1,"Villa Caparra 26 J ST,Guaynabo, Puerto Rico,00966-2202, United States","Villa Caparra 26 J ST,Guaynabo, Puerto Rico,00966-2202, United States",,"Dec 12, 1984","Ilia Sanchez Arana, Architect","Ilia Sanchez Arana, Architect","Puerto Rico, United States",Puerto Rico 98
Sanchez Engineering Services,FIVETWO ENGINEERING SERVICES LLC,H8HDB599D8F7,9ZB32,"8600 Landover LN,Bakersfield, California,93311-2519, United States","8600 Landover LN,Bakersfield, California,93311-2519, United States",https://fivetwoeng.com/,"Jun 20, 2024","Manuel Sanchez, Admin","Manuel Sanchez, Admin","California, United States",California 20
Sanchez Engineering Services,"MDM CONSULTING GROUP, LLC",GP9RENVKZMG4,96MG6,"195 Calle Almendro,Guaynabo, Puerto Rico,00971-4007, United States","Calle Almendro #195,Finca Elena,Guaynabo, Puerto Rico,00971, United States",https://www.mdmgrouppr.com/,"Sep 23, 2020","Mariette Sanchez, Ms.","Mariette Sanchez, Ms.","Puerto Rico, United States",Puerto Rico 98
Sanchez Engineering Services,BLACK DIAMOND CONSULTING CORPORATION,PPZECEJMLNQ3,74N88,"43023 Park Creek Drive,Ashburn, Virginia,20148-4140, United States","43023 Park Creek Drive,Ashburn, Virginia,20148-4140, United States",http://bdcng.com/,"Apr 11, 2014",Sergio Sanchez,Sergio Sanchez,"Virginia, United States",Virginia 10
Virtual Apprentice,,,,"1 RESEARCH CT,STE 450,ROCKVILLE, MD,20850-6252, USA",,,,,,,
Virtual Apprentice,,,,,,,,,,,
