keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Fathom,"FATHOM, LLC",TUGWQ7AM1QP7,9SJ03,"214 S Southwood AVE,Annapolis, Maryland,21401-4112, United States","214 S. Southwood AVE,Annapolis, Maryland,21401, United States",https://www.fathom-tech.com/,"Nov 7, 2023",['Laura Miller'],"Maryland, United States",Maryland 03
Olive,MOUNT OLIVE FIRE & RESCUE DISTRICT,YLCPLLKELFG3,6JY92,"3235 Mount Olive RD,Mount Olive, Alabama,35117-3711, United States","3235 Mount Olive RD,Mount Olive, Alabama,35117-3711, United States",,"Apr 1, 1981","['Dwight Sloan', 'Chris Gamble']","Alabama, United States",Alabama 06
Olive,"OLIVE, DON A",MVZQE78MRRH5,4KGN3,"8238 N Pennsylvania ST,Indianapolis, Indiana,46240-2246, United States","8238 N. Pennsylvania ST.,Indianapolis, Indiana,46240-2246, United States",,"Jan 1, 2003",['Don Olive'],"Indiana, United States",Indiana 05
Olive,"MT. OLIVE PARK AND RECREATION ASSOCIATION, INC.",XRTNKM5P15R6,88UM1,"3500 Mount Olive RD,Mount Olive, Alabama,35117-3702, United States","3500 Mount Olive Road,Mount Olive, Alabama,35117-3702, United States",,"Sep 4, 1958",['Dwight Sloan'],"Alabama, United States",Alabama 06
Olive,"VIDEO INDUSTRIAL SERVICES, INC.",HXH7JJAX3FF5,0PKX1,"7721 2ND AVE N,Birmingham, Alabama,35206-3702, United States","7721 2ND AVE N,Birmingham, Alabama,35214-3702, United States",http://www.videoindustrial.com/,"Nov 1, 1985",['Anthony Olive'],"Alabama, United States",Alabama 07
Olive,OLIVE NATE D,RE77PYTLGJ85,418P4,"1 Remainder Mt Victory,Frederiksted, Virgin Islands,00841, United States","PO Box 2903,Frederiksted, Virgin Islands,00841, United States",,"May 1, 2004",['Nathaniel Olive'],"Virgin Islands, United States",Virgin Islands 98
Olive,,,,"4857 GOODMAN RD,STE 102,OLIVE BRANCH, MS,38654-7915, USA",,,,[],,
Olive,JOSEPH OLIVE CONSULTING,VJUCQH4UWVQ8,6ZYY3,"101 Valley DR,Watchung, New Jersey,07069-6431, United States","101 Valley DR.,Watchung, New Jersey,07069, United States",,"May 25, 2011",['Joseph Olive'],"New Jersey, United States",New Jersey 07
Olive,INGENIUM SOFTWARE LLC,UFHAK5VRN7X8,5AYA3,"1010 Barclay DR,Madison, Georgia,30650-4621, United States","PO Box 170,Madison, Georgia,30650, United States",http://www.ingeniumsw.com/,"Mar 1, 2006","['Doug Olive', 'Susan Draeger']","Georgia, United States",Georgia 10
Olive,"CALLIVE, LLC",VJLHNWYUQJJ1,8CK15,"15705 Indianola DR,Derwood, Maryland,20855-2668, United States","7238 Muncaster Mill Road,Suite 244,Derwood, Maryland,20855-2668, United States",,"Jan 6, 2022",['Olive Idehen'],"Maryland, United States",Maryland 08
Olive,MARGARET OLIVE,KYXMDVJCGYX1,9DM09,"16798 Gault Valley RD,Hillsboro, Wisconsin,54634-3375, United States","16798 Gault Valley RD,Hillsboro, Wisconsin,54634-3375, United States",,"Jan 1, 2019",['Margaret Olive'],"(blank), (blank)",Wisconsin 03
OmniSpeech,"OMNISPEECH, LLC",MVJ7N2JHP3S8,5WEN5,"5000 College Avenue,STE 1103,College Park, Maryland,20740-3809, United States","5000 College Avenue,STE 1103,College Park, Maryland,20740-3809, United States",http://www.omni-speech.com/,"Sep 23, 2009","['David Przygoda', 'Carol Espy']","Delaware, United States",Maryland 04
"Ovrture, Inc.","OVRTURE, INC",GFSZU8W8J2H6,9YQ26,"115 Meadowsweet DR,State College, Pennsylvania,16801-7377, United States","PO Box 1139,State College, Pennsylvania,16804-1139, United States",https://www.ovrture.com/,"Mar 6, 2017",['Christopher Snavely'],"Delaware, United States",Pennsylvania 15
PD,COMMUNITY DEVELOPMENT CENTER-NEPAL,NJDPXGDKNTU3,SCHE2,"Nuwakot,Nuwakot,44908, Nepal","Bidur MUNICIPALITY-2 Bidur Nuwakot,Nuwakot, Ny,44900, Nepal",,"Oct 13, 2008",['Narayan Pd'],"(blank), Nepal",Not Applicable
PD,"NORMANGEE, CITY OF",J3WJEPKAL9J5,5R3K1,"107 Main ST,Normangee, Texas,77871-3815, United States","PO Box 37,Normangee, Texas,77871-0037, United States",,"Jan 1, 1979",['City Normangee'],"(blank), (blank)",Texas 08
PD,DHIKURPOKHARI COMMUNITY DEVELOPMENT ORGANIZATION,UCN6LXLNNG23,SBCF9,"Archal Bot,Pokhara,(blank), Nepal","ARCHALBOT-2,Pokhara, Gandaki,(blank), Nepal",,"May 2, 2000",['Punya Bhandari'],"(blank), Nepal",Not Applicable
PD,SAMUHIK ABHIYAN,KNYGSBFC87W5,SAED9,"Kalimati,Kathmandu,6502, Nepal","Kalimati,Kathmandu, Bagmati,6502, Nepal",,"Jul 19, 1992",['Yubalal Paudel'],"(blank), Nepal",Not Applicable
PD,SEAN SEED SERVICE CENTER LTD,RQBQKNNZ9PY8,(blank),"Ward NO.7, Checkpost,Thankot, Kathmandu,(blank), Nepal","Ward NO.7, Checkpost,Thankot, Kathmandu,44619, Nepal",,"Apr 7, 2000",['Durga Adhikari'],"(blank), Nepal",Not Applicable
PD,,,,"VIA VITTORIO VENETO 34,TOMBOLO, Pd,35019, ITA",,,,[],,
PD,,,,"Via Borgo Santa Maria 26/b,Veggiano, PD,35030, ITA",,,,[],,
PD,,,,"Via Ponte Valli 31,Bastia di Rovolon, PD,35030, ITA",,,,[],,
PD,,,,"37 Stanmore Hill Suite 13, Stanmore,London,HA7 3DS, GBR",,,,[],,
PD,,,,"VIA DOLOMITI 21,SAN MARTINO DI LUPARI, PD,35018, ITA",,,,[],,
Plum LLC,"PLUM, LOREN R",DNT8N622MMN3,6Y1L6,"1353 Sylvan CT,Healdsburg, California,95448-3345, United States","P O Box 36,Healdsburg, California,95448-0036, United States",,"Jun 13, 2005",['Loren Plum'],"California, United States",California 02
Plum LLC,PLUM HALL INC,SKKALN15TTM5,1NMD1,"3 Waihona PL,Kamuela, Hawaii,96743-0000, United States","3 Waihona Box 44610,Kamuela, Hawaii,96743-4610, United States",,"Feb 6, 1979","['Lana Plum', 'Thomas Plum']","Hawaii, United States",Hawaii 02
Plum LLC,PLUM VALLEY ELEMENTARY SCHOOL DISTRICT,N53SDUGKL1U3,64YW4,"29950 Plum Creek RD,Paynes Creek, California,96075-0000, United States","29950 Plum Creek RD.,Paynes Creek, California,96075-9703, United States",,"Sep 1, 1898","['Renee Hall', 'Wendy White']","(blank), (blank)",(blank)
Plum LLC,"PLUM BRANCH YACHT CLUB, INC.",ERLLBN4L16C3,8CHV4,"1 Yacht Club DR,Plum Branch, South Carolina,29845-3040, United States","1 Yacht Club DR,Plum Branch, South Carolina,29845-3040, United States",https://www.plumbranch.com/,"Mar 2, 1996",['Bea Mcclain'],"South Carolina, United States",South Carolina 03
Plum LLC,,,,"530 N Plum St,null,Lancaster, PA,17602-2362, USA",,,,[],,
Plum LLC,"PLUM, TYLER",G8ZSN8B1BGW4,848K1,"2631 W Maplewood AVE,APT 1,Bellingham, Washington,98225-8813, United States","2631 W Maplewood AVE,APT 1,Bellingham, Washington,98225-8813, United States",,"Jun 6, 2018",['Tyler Plum'],"West Virginia, United States",Washington 02
Plum LLC,"INSTITUTE OF BIOENGINEERING TECHNOLOGIES, INC.",D8HUF11YN6M3,1V7K7,"1974 Braemar DR,Columbus, Ohio,43220-3026, United States","1974 Braemar DR,Columbus, Ohio,43220-3026, United States",http://www.ibetinc.com/,"Jan 25, 1999",['George Plum'],"Ohio, United States",Ohio 15
Plum LLC,,,,"2330 PLUM POINT RD,POPE, MS,38658-2668, USA",,,,[],,
Plum LLC,PLUM CITY VILLAGE OF,W27MNDNXLEP8,6HWM1,"309 Maple AVE W,Plum City, Wisconsin,54761-9015, United States","PO Box 123,Plum City, Wisconsin,54761-0123, United States",,"Nov 27, 1909",['Patrick Hines'],"(blank), (blank)",Wisconsin 03
Plum LLC,"PLUM ENGINEERING, INC.",F5PHVMNNMHN7,6XXB4,"14978 Satanas ST,San Diego, California,92129-1529, United States","11835 Carmel MTN RD #1304-209,San Diego, California,92128-4609, United States",,"Jan 1, 2008","['Brandon Plum', 'Dana Plum']","California, United States",California 52
Magnitude Instruments,NANOSPEC INSTRUMENTS LLC,MGD1BU9NUXP7,877Q2,"200 Innovation BLVD STE 205,State College, Pennsylvania,16803-6602, United States","200 Innovation BLVD,STE 205,State College, Pennsylvania,16803-6602, United States",https://www.magnitudeinstruments.com/,"Apr 19, 2018",['Eric Kennehan'],"Pennsylvania, United States",Pennsylvania 15
Medulate,MEDULATE LLC,JZ6XDD99LCD1,(blank),"2418 Oak Leaf DR,State College, Pennsylvania,16803-3379, United States","2418 Oak Leaf DR,State College, Pennsylvania,16803-3379, United States",,"Oct 22, 2018",['Scarlett Miller'],"Pennsylvania, United States",Pennsylvania 15
Giv Local,"GIV LOCAL, LLC",VTBQZF7B9HM5,96KZ9,"101 Winesap DR,Port Matilda, Pennsylvania,16870-8301, United States","101 Winesap Drive,Port Matilda, Pennsylvania,16870, United States",https://www.givlocal.com/,"Jun 26, 2018",['Shizuka Buckley'],"Pennsylvania, United States",Pennsylvania 12
Giv Local ,"GIV LOCAL, LLC",VTBQZF7B9HM5,96KZ9,"101 Winesap DR,Port Matilda, Pennsylvania,16870-8301, United States","101 Winesap Drive,Port Matilda, Pennsylvania,16870, United States",https://www.givlocal.com/,"Jun 26, 2018",['Shizuka Buckley'],"Pennsylvania, United States",Pennsylvania 12
